rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
367,67,Gen-B,Loc-N,24.14,1198,0.579574747
368,68,Gen-B,Loc-N,28.11,1217,0.691311755
369,69,Gen-B,Loc-N,32.72,1240,0.81185988
370,70,Gen-B,Loc-N,26.98,1265.5,0.941615763
371,71,Gen-B,Loc-N,29.19,1290.5,1.080832458
372,72,Gen-B,Loc-N,45.64,1315.5,1.229521075
373,73,Gen-B,Loc-N,26.9,1344,1.38730552
374,74,Gen-B,Loc-N,38.93,1372.5,1.55321274
375,75,Gen-B,Loc-N,46.39,1399,1.725378648
376,76,Gen-B,Loc-N,35.35,1426,1.900652761
377,77,Gen-B,Loc-N,26.7,1449.5,2.074099723
378,78,Gen-B,Loc-N,22,1473.5,2.238435151
379,79,Gen-B,Loc-N,19.07,1497.5,2.383512738
380,80,Gen-B,Loc-N,20.15,1521.5,2.496109866
381,81,Gen-B,Loc-N,23.51,1540.5,2.560420444
382,82,Gen-B,Loc-N,28.32,1562,2.559760281
383,83,Gen-B,Loc-N,33.79,1587,2.479818513
384,84,Gen-B,Loc-N,39.23,1614,2.313121373
385,85,Gen-B,Loc-N,38.14,1641,2.063271561
386,86,Gen-B,Loc-N,38.49,1669,1.74669503
387,87,Gen-B,Loc-N,28.45,1696.5,1.390169598
388,88,Gen-B,Loc-N,24.72,1719.5,1.024584374
389,89,Gen-B,Loc-N,26.89,1736.5,0.677682086
390,90,Gen-B,Loc-N,25.65,1752.5,0.36895277
391,91,Gen-B,Loc-N,37.64,1770,0.108148452
392,92,Gen-B,Loc-N,47.99,1794.5,-0.103230894
393,93,Gen-B,Loc-N,67.36,1821,-0.269122364
394,94,Gen-B,Loc-N,47.62,1847.5,-0.396156115
395,95,Gen-B,Loc-N,51.59,1870,-0.491656971
396,96,Gen-B,Loc-N,49.24,1889,-0.56247752
397,97,Gen-B,Loc-N,42.74,1909.5,-0.6144714
398,98,Gen-B,Loc-N,68.52,1930,-0.652365094
399,99,Gen-B,Loc-N,64.36,1950.5,-0.679836235
400,100,Gen-B,Loc-N,66.44,1971,-0.699675302
